Loss,Mem,Throughput,lr
9.9438,47.052,439124.851,0.436
9.9378,47.052,485312.6766,0.437
9.9111,47.052,141914.7092,0.438
9.9348,47.052,477318.5859,0.439
9.9647,47.052,460557.181,0.44
9.976,47.052,436942.5604,0.441
9.9006,47.052,444234.3812,0.442
9.9196,47.052,486768.5375,0.443
9.9108,47.052,435423.4606,0.444
9.9396,47.052,448926.5267,0.445
9.916,47.052,451002.5726,0.446
9.9417,47.052,424017.615,0.447
9.9436,47.052,404059.375,0.448
9.8989,47.052,459922.4097,0.449
9.9032,47.052,510641.8452,0.45
9.9336,47.052,438212.1957,0.451
9.9186,47.052,460865.2755,0.452
9.9041,47.052,551578.3991,0.453
9.8833,47.052,154332.0976,0.454
9.9003,47.052,486309.0585,0.455
9.8905,47.052,470716.8848,0.456
9.8685,47.052,479444.385,0.457
9.861,47.052,452967.8651,0.458
9.8562,47.052,535906.3641,0.459
9.9124,47.052,475493.066,0.46
9.8567,47.052,546199.1246,0.461
9.9089,47.052,502198.0069,0.462
9.8829,47.052,408146.9769,0.463
9.8619,47.052,510877.2736,0.464
9.8645,47.052,463831.9982,0.465
9.8324,47.052,432423.2554,0.466
9.8446,47.052,449226.283,0.467
9.901,47.052,477423.2145,0.468
9.8802,47.052,138745.2843,0.469
9.8731,47.052,475741.3928,0.47
9.8191,47.052,449023.0801,0.471
9.9045,47.052,365975.6172,0.472
9.8669,47.052,555746.8208,0.473
9.8555,47.052,548438.9698,0.474
9.8283,47.052,511971.3663,0.475
9.8287,47.052,494314.1681,0.476
9.8453,47.052,448941.6067,0.477
9.816,47.052,513810.4198,0.478
9.8989,47.052,381177.245,0.479
9.8617,47.052,427612.9459,0.48
9.8193,47.052,439637.3592,0.481
9.839,47.052,448659.0956,0.482
9.8279,47.052,505301.5437,0.483
9.8442,47.052,458795.9171,0.484
9.8222,47.052,144985.1726,0.485
9.8029,47.052,472693.2569,0.486
9.8267,47.052,437932.2022,0.487
9.8017,47.052,463935.5568,0.488
9.7768,47.052,505493.0737,0.489
9.788,47.052,600854.7537,0.49
9.7945,47.052,530076.0267,0.491
9.7935,47.052,401069.2904,0.492
9.7731,47.052,464972.2875,0.493
9.7739,47.052,496668.2027,0.494
9.7942,47.052,506520.8785,0.495
9.7501,47.052,510700.3526,0.496
9.7679,47.052,468329.7062,0.497
9.7686,47.052,444220.3514,0.498
9.7827,47.052,519534.4939,0.499
9.7499,47.052,541276.8864,0.5
9.7383,47.052,76229.1224,0.501
9.7591,47.052,521571.9934,0.502
9.7518,47.052,532375.0644,0.503
9.745,47.052,559113.9654,0.504
9.7247,47.052,547157.1818,0.505
9.7353,47.052,547997.8301,0.506
9.7378,47.052,466939.3523,0.507
9.7144,47.052,483261.9313,0.508
