train_acc,loss,0,1
44.172,15.726,,
44.125,15.753,,
44.079,15.7438,,
43.912,15.6922,,
43.95,15.622,,
44.066,15.5314,,
44.023,15.484,,
44.213,15.6288,,
44.36,15.5661,,
44.465,15.5001,,
44.457,15.431,,
44.449,15.444,,
44.586,15.294,,
44.684,15.3411,,
44.744,15.3148,,
44.909,15.2486,,
44.965,15.3183,,
45.021,15.2772,,
45.041,15.355,,
44.926,15.2566,,
45.08,15.1619,,
45.132,15.1158,,
45.117,15.2009,,
45.103,15.2151,,
45.185,15.1433,,
45.265,15.1216,,
45.312,15.0934,,
45.266,15.0745,,
45.466,15.1514,,
45.419,15.1344,,
45.312,15.0679,,
45.238,15.149,,
45.136,15.228,,
45.152,15.1543,,
45.11,15.2428,,
45.04,15.2881,,
44.972,15.3355,,
45.073,15.3967,,
45.061,15.3288,,
45.133,15.2846,,
45.23,15.3662,,
45.299,15.3441,,
45.393,15.3504,,
45.326,15.2765,,
45.339,15.2321,,
45.299,15.215,,
45.391,15.1965,,
45.3,15.1724,,
45.261,15.3242,,
45.3,15.3202,,
45.262,15.3551,,
45.325,15.2999,,
45.337,15.329,,
45.349,15.2864,,
45.288,15.2789,,
45.228,1.7426,,
45.24,1.8298,,
45.324,1.8626,,
45.431,1.8823,,
45.489,1.7901,,
45.522,1.8163,,
45.394,1.8544,,
45.496,1.8552,,
45.461,1.871,,
45.471,1.8664,,
45.391,1.8176,,
45.446,1.8012,,
45.368,1.8308,,
45.423,1.8164,,
45.476,1.8374,,
45.573,1.8591,,
45.539,1.866,,
45.505,1.8801,,
45.451,1.8723,,
45.397,1.8668,,
45.512,1.857,,
45.479,1.8529,,
45.571,1.8453,,
45.6,1.845,,
45.588,1.849,,
45.657,1.8463,,
45.565,1.85,,
45.633,1.8618,,
45.641,1.8628,,
45.609,1.8682,,
45.637,1.8736,,
45.645,1.8743,,
45.575,1.8644,,
45.64,1.8699,,
45.706,1.8676,,
45.732,1.8649,,
45.644,1.8627,,
45.595,1.8577,,
45.584,1.8522,,
45.573,1.8595,,
45.636,1.8576,,
45.643,1.855,,
45.577,1.8573,,
45.567,1.8521,,
45.683,1.8426,,
45.708,1.8364,,
45.661,1.8302,,
45.703,1.8366,,
45.692,1.8342,,
45.681,1.827,,
45.688,1.8283,,
45.677,1.8288,,
45.718,1.8282,,
45.742,1.8269,,
45.714,1.8257,,
45.72,1.8286,,
45.726,1.8278,,
45.783,1.8274,,
45.805,1.8255,,
45.85,1.8215,,
43.75,1.8205,,
42.188,1.8219,,
45.833,1.8197,,
45.312,1.8163,,
48.75,1.814,,
46.875,1.8106,,
45.089,1.8075,,
44.531,1.8052,,
43.75,1.8057,,
44.375,1.8101,,
46.591,1.8091,,
46.875,1.8129,,
45.673,1.8128,,
46.205,1.8116,,
45.417,1.8122,,
44.336,1.8149,,
44.118,1.8164,,
43.75,1.8157,,
43.75,1.8162,,
44.531,1.8142,,
44.345,1.8116,,
44.744,1.8079,,
45.652,1.8074,,
45.573,1.8045,,
45.5,1.8057,,
45.433,1.8,,
45.023,1.7954,,
45.089,1.794,,
45.151,1.7901,,
44.792,1.7887,,
44.657,1.7907,,
44.531,1.7892,,
44.886,1.7906,,
44.669,1.7886,,
44.821,1.7869,,
44.358,1.7866,,
44.595,1.7875,,
44.819,1.786,,
45.032,1.7841,,
45.0,1.782,,
45.122,1.7829,,
45.312,1.7798,,
