train_acc,loss,0,1
50.284,10.3521,,
50.781,10.3533,,
50.962,10.3515,,
51.562,10.3477,,
50.0,10.3557,,
49.219,10.3525,,
48.713,10.3545,,
48.09,10.3517,,
47.697,10.352,,
47.188,1.8062,,
47.47,1.7799,,
47.727,1.8012,,
48.505,1.8462,,
48.177,1.7023,,
48.75,1.7328,,
48.798,1.7641,,
48.495,1.7849,,
48.438,1.8232,,
48.06,1.8268,,
47.292,1.7803,,
47.278,1.7654,,
47.266,1.7722,,
47.538,1.757,,
47.518,1.7818,,
47.946,1.7899,,
48.177,1.7843,,
47.889,1.7909,,
47.944,1.7967,,
48.317,1.7871,,
48.281,1.7754,,
48.171,1.7672,,
48.438,1.7519,,
48.619,1.7432,,
49.077,1.739,,
49.375,1.7416,,
49.592,1.7448,,
49.867,1.7441,,
49.609,1.7422,,
49.872,1.7486,,
50.25,1.7566,,
50.429,1.7555,,
50.481,1.7548,,
50.354,1.7629,,
50.579,1.7644,,
50.852,1.7639,,
51.06,1.7626,,
51.316,1.7595,,
51.347,1.7512,,
51.218,1.7505,,
51.198,1.7487,,
51.178,1.7387,,
51.159,1.7323,,
51.19,1.7288,,
51.221,1.7213,,
51.298,1.7144,,
51.326,1.7083,,
51.539,1.7169,,
51.562,1.7129,,
51.63,1.7031,,
51.473,1.7012,,
51.32,1.7013,,
51.172,1.7032,,
51.241,1.6989,,
51.394,1.6936,,
51.375,1.6967,,
51.234,1.6957,,
51.218,1.6979,,
51.122,1.6976,,
51.187,1.6975,,
51.289,1.6967,,
51.543,1.6985,,
51.524,1.6972,,
51.694,1.6947,,
51.86,1.695,,
51.838,1.6919,,
51.999,1.6881,,
51.94,1.6869,,
51.989,1.6877,,
52.107,1.6934,,
52.083,1.6937,,
52.198,1.6969,,
52.174,1.6977,,
52.184,1.6961,,
52.261,1.6972,,
52.368,1.7001,,
52.376,1.7017,,
52.448,1.7011,,
52.519,1.7005,,
52.525,1.7001,,
52.75,1.6993,,
52.877,1.6984,,
52.849,1.6934,,
52.882,1.6927,,
52.825,1.6964,,
53.006,1.6917,,
52.978,1.6872,,
52.862,1.684,,
52.749,1.6792,,
52.695,1.6752,,
52.557,1.6759,,
52.562,1.6747,,
52.623,1.6714,,
52.572,1.6698,,
52.577,1.6685,,
52.609,1.6677,,
52.667,1.6653,,
52.591,1.6627,,
52.569,1.6664,,
52.626,1.6646,,
52.682,1.6633,,
52.531,1.6595,,
52.485,1.659,,
52.515,1.6588,,
52.571,1.6576,,
52.5,1.659,,
52.455,1.6589,,
52.436,1.6582,,
52.466,1.6597,,
52.422,1.6631,,
52.524,1.6625,,
52.743,1.6608,,
52.794,1.6605,,
52.82,1.6576,,
52.938,1.6571,,
52.87,1.6553,,
52.987,1.6558,,
53.102,1.6549,,
53.125,1.6547,,
