Loss,Mem,lr
6.969,66.0,1.0
6.6961,66.0,1.0
7.0531,66.0,1.0
7.1678,66.0,1.0
7.2261,66.0,1.0
7.0241,66.0,1.0
6.5759,66.0,1.0
7.1131,66.0,1.0
6.8283,66.0,1.0
6.691,66.0,1.0
6.7936,66.0,1.0
7.0155,66.0,1.0
7.0154,66.0,1.0
6.8031,66.0,1.0
6.6734,66.0,1.0
6.8934,66.0,1.0
6.8537,66.0,1.0
6.5758,66.0,1.0
6.9661,66.0,1.0
6.4354,66.0,1.0
6.6636,66.0,1.0
7.2425,66.0,1.0
7.0489,66.0,1.0
6.8915,66.0,1.0
6.7156,66.0,1.0
6.9632,66.0,1.0
6.9212,66.0,1.0
7.1558,66.0,1.0
7.0231,66.0,1.0
6.7993,66.0,1.0
6.9356,66.0,1.0
7.0111,66.0,1.0
7.0107,66.0,1.0
6.8489,66.0,1.0
7.0865,66.0,1.0
6.9335,66.0,1.0
6.7151,66.0,1.0
6.917,66.0,1.0
6.9908,66.0,1.0
7.1562,66.0,1.0
6.6889,66.0,1.0
6.9899,66.0,1.0
6.9859,66.0,1.0
6.6208,66.0,1.0
6.7933,66.0,1.0
6.9054,66.0,1.0
6.6385,66.0,1.0
6.8598,66.0,1.0
6.8341,66.0,1.0
7.0487,66.0,1.0
7.0738,66.0,1.0
7.1211,66.0,1.0
6.775,66.0,1.0
6.7636,66.0,1.0
7.0934,66.0,1.0
7.0351,66.0,1.0
6.7856,66.0,1.0
6.8691,66.0,1.0
6.9839,66.0,1.0
6.7415,66.0,1.0
6.8287,66.0,1.0
6.918,66.0,1.0
6.8123,66.0,1.0
6.8044,66.0,1.0
6.5849,66.0,1.0
6.8554,66.0,1.0
6.8427,66.0,1.0
6.8006,66.0,1.0
6.9201,66.0,1.0
6.7557,66.0,1.0
7.0986,66.0,1.0
6.9305,66.0,1.0
6.873,66.0,1.0
6.8506,66.0,1.0
6.8091,66.0,1.0
6.822,66.0,1.0
6.994,66.0,1.0
6.5667,66.0,1.0
6.9073,66.0,1.0
6.8677,66.0,1.0
6.4264,66.0,1.0
6.8414,66.0,1.0
6.9515,66.0,1.0
6.4602,66.0,1.0
6.9997,66.0,1.0
6.7271,66.0,1.0
7.049,66.0,1.0
6.9982,66.0,1.0
6.7793,66.0,1.0
7.2242,66.0,1.0
6.8745,66.0,1.0
7.102,66.0,1.0
6.8919,66.0,1.0
6.9783,66.0,1.0
6.5278,66.0,1.0
6.996,66.0,1.0
6.7077,66.0,1.0
6.8236,66.0,1.0
6.8573,66.0,1.0
6.6854,66.0,1.0
6.6847,66.0,1.0
6.6853,66.0,1.0
6.898,66.0,1.0
6.5344,66.0,1.0
6.8535,66.0,1.0
7.0236,66.0,1.0
6.7971,66.0,1.0
7.0765,66.0,1.0
6.78,66.0,1.0
6.9945,66.0,1.0
6.9945,66.0,1.0
6.9592,66.0,1.0
7.1807,66.0,1.0
6.836,66.0,1.0
6.9574,66.0,1.0
7.5026,66.0,1.0
6.9271,66.0,1.0
6.7968,66.0,1.0
6.5035,66.0,1.0
6.6431,66.0,1.0
7.0103,66.0,1.0
7.0278,66.0,1.0
6.6038,66.0,1.0
6.7283,66.0,1.0
7.0433,66.0,1.0
6.6204,66.0,1.0
6.8802,66.0,1.0
6.7635,66.0,1.0
6.8173,66.0,1.0
6.9938,66.0,1.0
6.7997,66.0,1.0
7.0943,66.0,1.0
6.8604,66.0,1.0
6.7668,66.0,1.0
