Loss,Mem,Throughput,lr,0,1,2,3
9.0751,43.209,73485.1197,1.0,,,,
9.0837,43.209,67517.5275,1.0,,,,
9.0741,43.209,66738.9814,1.0,,,,
9.0485,43.209,57460.0861,1.0,,,,
9.1166,43.209,58857.4683,1.0,,,,
9.0584,43.209,63429.3463,1.0,,,,
9.063,43.209,71881.0778,1.0,,,,
9.0777,43.209,60223.6717,1.0,,,,
9.0588,43.209,63589.8012,1.0,,,,
9.0557,43.209,85370.259,1.0,,,,
9.0369,43.209,50522.3399,1.0,,,,
9.0121,43.209,74641.4807,1.0,,,,
9.0726,43.209,66069.9314,1.0,,,,
9.0373,43.209,61690.3195,1.0,,,,
9.0345,43.209,65756.0406,1.0,,,,
9.0544,43.209,66207.2213,1.0,,,,
9.1019,43.209,67201.985,1.0,,,,
9.0204,43.209,71026.446,1.0,,,,
9.0571,43.209,71457.8629,1.0,,,,
9.0413,43.209,72379.0419,1.0,,,,
9.067,43.209,68104.0434,1.0,,,,
9.0327,43.209,69561.2455,1.0,,,,
9.075,43.209,62880.2695,1.0,,,,
9.0318,43.209,66126.6816,1.0,,,,
9.0563,43.209,71187.204,1.0,,,,
9.0034,43.209,60380.5044,1.0,,,,
8.9988,43.209,50008.8525,1.0,,,,
9.0341,43.209,58532.1009,1.0,,,,
8.977,43.209,79304.4736,1.0,,,,
8.9913,43.209,78630.6773,1.0,,,,
9.011,43.209,70217.012,1.0,,,,
9.0052,43.209,67944.6891,1.0,,,,
8.9911,43.209,68705.8919,1.0,,,,
9.0184,43.209,72113.1275,1.0,,,,
8.993,43.209,74796.0505,1.0,,,,
9.0035,43.209,73124.9717,1.0,,,,
9.0213,43.209,63033.2781,1.0,,,,
8.9864,43.209,72783.754,1.0,,,,
9.0069,43.209,65613.1896,1.0,,,,
8.9761,43.209,54388.8438,1.0,,,,
9.017,43.209,52960.9262,1.0,,,,
8.9623,43.209,42091.2549,1.0,,,,
8.9618,43.209,59487.5571,1.0,,,,
8.9139,43.209,79028.5615,1.0,,,,
9.0159,43.209,51293.72,1.0,,,,
9.0153,43.209,72887.2075,1.0,,,,
8.9637,43.209,70170.3547,1.0,,,,
9.0728,43.209,65398.7134,1.0,,,,
8.9635,43.209,53151.8424,1.0,,,,
8.9435,43.209,59996.0565,1.0,,,,
8.9382,43.209,69716.0762,1.0,,,,
9.0015,43.209,61235.3996,1.0,,,,
8.9655,43.209,72585.0319,1.0,,,,
8.9323,43.209,69636.7693,1.0,,,,
8.9321,43.209,75269.2568,1.0,,,,
8.9891,43.209,65214.7378,1.0,,,,
8.9475,43.209,72894.6065,1.0,,,,
8.9579,43.209,53066.8381,1.0,,,,
8.9481,43.209,61627.6677,1.0,,,,
8.9564,43.209,57288.9523,1.0,,,,
8.916,43.209,69600.5851,1.0,,,,
8.8958,43.209,79412.9298,1.0,,,,
8.8715,43.209,69138.7709,1.0,,,,
9.0034,43.209,71757.9184,1.0,,,,
8.8717,43.209,64973.7766,1.0,,,,
9.0039,43.209,61768.451,1.0,,,,
8.9772,43.209,56465.9589,1.0,,,,
8.9173,43.209,71969.2542,1.0,,,,
8.9808,43.209,61130.983,1.0,,,,
8.9253,43.209,56928.4141,1.0,,,,
8.9474,43.209,63054.2363,1.0,,,,
8.9031,43.209,67603.2127,1.0,,,,
8.892,43.209,58484.6743,1.0,,,,
8.9274,43.209,56781.2254,1.0,,,,
8.9362,43.209,60709.0093,1.0,,,,
8.931,43.209,78768.9625,1.0,,,,
8.8735,43.209,55904.6773,1.0,,,,
8.8866,43.209,69827.268,1.0,,,,
8.9234,43.209,69334.3306,1.0,,,,
8.8186,43.209,73386.5036,1.0,,,,
8.8509,43.209,85413.2728,1.0,,,,
8.9029,43.209,72225.7447,1.0,,,,
8.8748,43.209,70194.5657,1.0,,,,
8.8619,43.209,68439.3537,1.0,,,,
8.9294,43.209,74337.691,1.0,,,,
8.8594,43.209,69819.6965,1.0,,,,
8.8881,43.209,69163.8604,1.0,,,,
8.8819,43.209,60837.6403,1.0,,,,
8.9065,43.209,46755.3535,1.0,,,,
8.9144,43.209,67361.6272,1.0,,,,
8.8575,43.209,81297.1244,1.0,,,,
8.948,43.209,57476.9499,1.0,,,,
8.7966,43.209,69994.2847,1.0,,,,
8.7862,43.209,63179.8902,1.0,,,,
8.8488,43.209,67261.3608,1.0,,,,
8.8644,43.209,51166.1758,1.0,,,,
8.88,43.209,55919.5677,1.0,,,,
8.887,43.209,65622.6388,1.0,,,,
8.8737,43.209,78982.574,1.0,,,,
8.8662,43.209,67319.5457,1.0,,,,
8.8347,43.209,58043.5003,1.0,,,,
8.8872,43.209,59003.987,1.0,,,,
8.8479,43.209,59739.8212,1.0,,,,
8.8785,43.209,57287.7781,1.0,,,,
8.8754,43.209,50264.9982,1.0,,,,
8.9217,43.209,65519.3858,1.0,,,,
8.8323,43.209,61819.1632,1.0,,,,
8.8244,43.209,66049.075,1.0,,,,
8.9089,43.209,69051.3306,1.0,,,,
8.8454,43.209,69267.0248,1.0,,,,
8.89,43.209,63819.0997,1.0,,,,
8.8185,43.209,62688.232,1.0,,,,
8.8541,43.209,70118.6676,1.0,,,,
8.8085,43.209,67129.4103,1.0,,,,
8.7915,43.209,62969.8714,1.0,,,,
8.8397,43.209,77109.8906,1.0,,,,
8.8383,43.209,55044.9352,1.0,,,,
8.8036,43.209,66258.5724,1.0,,,,
8.8689,43.209,73208.5676,1.0,,,,
8.8116,43.209,45622.372,1.0,,,,
8.8533,43.209,75297.2321,1.0,,,,
8.8425,43.209,67462.0351,1.0,,,,
8.8231,43.209,69521.0413,1.0,,,,
8.8,43.209,72089.5618,1.0,,,,
8.8261,43.209,67406.5491,1.0,,,,
8.782,43.209,70919.5958,1.0,,,,
8.8736,43.209,63752.3808,1.0,,,,
8.8314,43.209,68718.2141,1.0,,,,
8.8443,43.209,69525.9698,1.0,,,,
8.8525,43.209,56183.4426,1.0,,,,
8.8325,43.209,72191.5449,1.0,,,,
8.7559,43.209,74200.0818,1.0,,,,
8.8061,43.209,67269.5441,1.0,,,,
8.8237,43.209,60261.8267,1.0,,,,
8.8191,43.209,66627.5038,1.0,,,,
8.7435,43.209,45483.3539,1.0,,,,
8.788,43.209,65369.1396,1.0,,,,
8.8399,43.209,63069.0502,1.0,,,,
8.849,43.209,59931.7055,1.0,,,,
8.7361,43.209,60805.418,1.0,,,,
8.8185,43.209,66574.2679,1.0,,,,
8.8212,43.209,59625.8268,1.0,,,,
8.8354,43.209,61614.3191,1.0,,,,
8.7997,43.209,61517.1943,1.0,,,,
8.8015,43.209,58147.4867,1.0,,,,
8.8234,43.209,55282.6904,1.0,,,,
8.779,43.209,63298.7428,1.0,,,,
8.7659,43.209,69770.5185,1.0,,,,
8.8201,43.209,60245.1087,1.0,,,,
8.763,43.209,63356.9801,1.0,,,,
8.8079,43.209,75555.7782,1.0,,,,
8.7435,43.209,57651.9171,1.0,,,,
8.7872,43.209,66691.1415,1.0,,,,
8.7732,43.209,64409.8071,1.0,,,,
8.7497,43.209,65633.9681,1.0,,,,
8.7456,43.209,61850.7708,1.0,,,,
8.7505,43.209,73264.5072,1.0,,,,
8.8675,43.209,65150.454,1.0,,,,
8.7624,43.209,74705.5154,1.0,,,,
8.8383,43.209,68579.2243,1.0,,,,
8.8013,43.209,56155.3013,1.0,,,,
8.7512,43.209,70200.7212,1.0,,,,
8.7812,43.209,63512.0841,1.0,,,,
8.7211,43.209,59480.5254,1.0,,,,
8.7547,43.209,61821.7973,1.0,,,,
8.8219,43.209,65357.1923,1.0,,,,
8.833,43.209,51473.7478,1.0,,,,
8.8129,43.209,65321.9887,1.0,,,,
8.7051,43.209,61877.6574,1.0,,,,
8.8037,43.209,50340.6222,1.0,,,,
8.817,43.209,76060.8019,1.0,,,,
8.7897,43.209,75160.1542,1.0,,,,
8.7418,43.209,70271.9739,1.0,,,,
8.7736,43.209,67816.8646,1.0,,,,
8.7712,43.209,61849.3391,1.0,,,,
8.7394,43.209,70526.4476,1.0,,,,
8.8232,43.209,52161.6924,1.0,,,,
8.8136,43.209,58853.5443,1.0,,,,
8.7507,43.209,60360.7188,1.0,,,,
8.7897,43.209,61926.8806,1.0,,,,
8.7893,43.209,69408.3852,1.0,,,,
8.7662,43.209,63104.1324,1.0,,,,
8.7696,43.209,54583.9645,1.0,,,,
8.7485,43.209,65036.2024,1.0,,,,
8.7613,43.209,60130.1098,1.0,,,,
8.7616,43.209,63513.5716,1.0,,,,
8.7087,43.209,69324.6876,1.0,,,,
8.7421,43.209,82509.9277,1.0,,,,
8.7542,43.209,72608.7659,1.0,,,,
8.761,43.209,55136.6338,1.0,,,,
8.7336,43.209,64025.6951,1.0,,,,
8.736,43.209,68548.608,1.0,,,,
8.7522,43.209,69564.389,1.0,,,,
8.702,43.209,70122.1236,1.0,,,,
8.7334,43.209,64213.8675,1.0,,,,
8.7291,43.209,60784.1973,1.0,,,,
8.7703,43.209,71060.5043,1.0,,,,
8.7143,43.209,73955.7287,1.0,,,,
8.6879,43.209,44304.2834,1.0,,,,
8.7506,43.209,71906.305,1.0,,,,
8.7495,43.209,73686.0299,1.0,,,,
8.7288,43.209,76941.3802,1.0,,,,
8.6841,43.209,75098.9972,1.0,,,,
8.7174,43.209,75389.7642,1.0,,,,
8.6908,43.209,64025.939,1.0,,,,
8.6838,43.209,67273.0333,1.0,,,,
8.7137,43.209,75960.2171,1.0,,,,
8.7719,43.209,58817.6646,1.0,,,,
8.7029,43.209,58662.7159,1.0,,,,
8.7086,43.209,62061.9727,1.0,,,,
8.7001,43.209,59784.1982,1.0,,,,
8.7024,43.209,79963.0352,1.0,,,,
8.734,43.209,61971.4794,1.0,,,,
8.6749,43.209,43266.2954,1.0,,,,
8.7625,43.209,62889.9696,1.0,,,,
8.6997,43.209,71369.7753,1.0,,,,
8.705,43.209,60118.9954,1.0,,,,
8.7262,43.209,60798.0129,1.0,,,,
8.7111,43.209,65316.2378,1.0,,,,
8.7496,43.209,68571.9873,1.0,,,,
8.7547,43.209,63311.8721,1.0,,,,
8.7305,43.209,70699.4239,1.0,,,,
8.7732,43.209,49589.2054,1.0,,,,
8.6752,43.209,78108.7525,1.0,,,,
8.7404,43.209,72442.4708,1.0,,,,
8.7104,43.209,63637.4231,1.0,,,,
