train_acc,loss,0,1
19.281,2.7213,,
19.297,2.7354,,
19.216,2.7341,,
19.348,2.7334,,
19.44,2.7299,,
19.474,2.7265,,
19.432,2.7238,,
19.315,2.7229,,
19.424,2.7198,,
19.382,2.7166,,
19.36,2.7129,,
19.375,2.7259,,
19.335,2.7253,,
19.331,2.7222,,
19.364,2.7215,,
19.415,2.7192,,
19.357,2.7163,,
19.371,2.7145,,
19.35,2.7127,,
19.312,2.7096,,
19.274,2.7079,,
19.306,2.7185,,
19.302,2.7154,,
19.385,2.7132,,
19.382,2.7101,,
19.378,2.7071,,
19.459,2.704,,
19.456,2.7028,,
19.502,2.6987,,
19.533,2.6967,,
12.5,2.6937,,
9.375,2.7025,,
15.625,2.6986,,
14.062,2.7003,,
17.5,2.7006,,
19.792,2.7015,,
18.75,2.6991,,
17.578,2.6979,,
17.361,2.6997,,
17.188,2.7024,,
16.193,2.7108,,
16.667,2.7222,,
16.587,2.7177,,
16.295,2.7172,,
15.833,2.7118,,
15.43,2.7185,,
15.257,2.72,,
14.931,2.7207,,
14.967,2.7195,,
15.156,2.7211,,
14.435,2.7195,,
15.057,2.7292,,
15.761,2.7249,,
16.146,2.7218,,
16.25,2.7179,,
16.106,2.7176,,
15.972,2.7169,,
16.071,2.7133,,
15.948,2.7124,,
16.042,2.7121,,
15.726,2.7119,,
15.723,2.7202,,
15.814,2.7184,,
15.533,2.7175,,
15.625,2.7163,,
15.625,2.7162,,
15.794,2.714,,
16.036,2.7127,,
16.587,2.7108,,
16.719,2.7115,,
16.387,2.7095,,
16.592,2.7149,,
16.424,2.7125,,
16.548,2.7117,,
16.875,2.7108,,
17.052,2.7089,,
17.287,2.7069,,
17.318,2.7035,,
17.411,2.7025,,
17.25,7.1605,,
17.157,7.1555,,
17.308,7.1582,,
17.512,7.1113,,
17.65,7.2225,,
17.955,7.2421,,
18.192,7.3974,,
18.421,7.4135,,
18.373,7.4461,,
18.538,7.4387,,
18.542,7.4125,,
18.289,7.3912,,
18.347,7.4162,,
18.353,7.3989,,
18.408,7.385,,
18.413,7.408,,
18.371,7.4093,,
18.657,7.4114,,
18.75,7.4193,,
18.841,7.4139,,
18.884,7.4158,,
18.75,7.4042,,
18.707,7.4208,,
18.707,7.4116,,
18.708,7.4126,,
18.75,7.411,,
18.832,7.4045,,
18.912,7.4108,,
18.95,7.4096,,
18.987,7.3917,,
18.984,7.3849,,
19.02,7.3789,,
