Loss,Mem,lr
7.0743,55.7,1.0
6.9104,55.7,1.0
6.7459,55.7,1.0
7.1028,55.7,1.0
6.8149,59.3,1.0
6.8213,59.3,1.0
6.8995,59.3,1.0
6.6201,59.3,1.0
7.0371,59.3,1.0
7.0084,59.3,1.0
6.9366,59.3,1.0
6.8293,59.3,1.0
6.7346,59.3,1.0
6.6251,59.3,1.0
6.8544,59.3,1.0
6.9025,59.3,1.0
7.1093,59.3,1.0
7.2752,59.3,1.0
6.6504,59.3,1.0
7.1528,59.3,1.0
7.0852,59.3,1.0
6.9961,59.3,1.0
6.9193,59.3,1.0
7.2452,59.3,1.0
7.1306,59.3,1.0
7.0204,59.3,1.0
7.074,59.3,1.0
7.0464,59.3,1.0
7.1166,59.3,1.0
6.4502,59.3,1.0
7.2961,59.3,1.0
6.9117,59.3,1.0
6.9475,59.3,1.0
7.1669,59.3,1.0
6.7492,59.3,1.0
6.6249,59.3,1.0
6.9501,59.3,1.0
7.0225,59.3,1.0
7.0042,59.3,1.0
7.0817,59.3,1.0
6.8072,59.3,1.0
6.891,59.3,1.0
6.9398,59.3,1.0
6.9363,59.3,1.0
6.8518,59.3,1.0
6.8961,59.3,1.0
6.948,59.3,1.0
7.0062,59.3,1.0
7.0178,59.3,1.0
6.9724,59.3,1.0
6.9596,59.3,1.0
7.0614,59.3,1.0
6.9532,62.1,1.0
6.4176,62.1,1.0
6.8825,62.1,1.0
7.0967,62.1,1.0
6.9766,62.1,1.0
6.9324,62.1,1.0
7.1929,62.1,1.0
6.88,62.1,1.0
6.6425,62.1,1.0
7.1115,62.1,1.0
6.5368,62.1,1.0
6.9482,62.1,1.0
6.7208,62.1,1.0
6.9334,62.1,1.0
7.1345,62.1,1.0
7.0394,62.1,1.0
6.9801,62.1,1.0
7.1856,62.1,1.0
7.064,62.1,1.0
6.9512,62.1,1.0
7.0421,62.1,1.0
6.9858,62.1,1.0
6.9399,62.1,1.0
6.8732,62.1,1.0
6.3935,62.1,1.0
7.0612,62.1,1.0
6.6392,62.1,1.0
6.7121,62.1,1.0
6.7539,62.1,1.0
6.9925,62.1,1.0
7.025,62.1,1.0
6.2991,62.1,1.0
6.8782,62.1,1.0
7.0224,62.1,1.0
7.0573,62.1,1.0
6.9616,62.1,1.0
7.0894,62.1,1.0
7.0215,62.1,1.0
6.8042,62.1,1.0
6.7535,62.1,1.0
6.8812,62.1,1.0
7.0316,62.1,1.0
7.0579,62.1,1.0
6.8795,62.1,1.0
