Loss,Mem,Throughput,lr,0,1,2,3
8.9467,43.598,23659.4788,1.0,,,,
8.7911,43.598,28635.7096,1.0,,,,
8.774,43.598,25893.6382,1.0,,,,
8.8545,43.598,27798.3855,1.0,,,,
8.8583,43.598,21053.8786,1.0,,,,
8.8659,43.598,22997.2601,1.0,,,,
8.8986,43.598,27145.3391,1.0,,,,
8.8741,43.61,32483.9092,1.0,,,,
8.8591,43.61,27564.4631,1.0,,,,
8.8297,43.61,23801.9984,1.0,,,,
8.8822,43.61,24384.2879,1.0,,,,
8.8582,43.61,24493.3346,1.0,,,,
8.8642,43.61,23479.028,1.0,,,,
8.8886,43.61,23524.3456,1.0,,,,
8.9162,43.61,26884.8273,1.0,,,,
8.815,43.61,25316.5927,1.0,,,,
8.83,43.61,27300.3772,1.0,,,,
8.9111,43.602,28336.7057,1.0,,,,
8.8501,43.602,28487.7084,1.0,,,,
8.8966,43.602,26229.0825,1.0,,,,
8.8169,43.602,25708.1089,1.0,,,,
8.8586,43.602,28778.655,1.0,,,,
8.7953,43.602,27567.7589,1.0,,,,
8.803,43.602,26004.6305,1.0,,,,
8.8338,43.602,31702.3028,1.0,,,,
8.8546,43.602,22692.3378,1.0,,,,
8.8087,43.602,27345.6716,1.0,,,,
8.8628,43.598,30163.0492,1.0,,,,
8.828,43.598,22560.1071,1.0,,,,
8.8464,43.598,31095.9846,1.0,,,,
8.8485,43.598,27672.7567,1.0,,,,
8.8297,43.598,28609.7095,1.0,,,,
8.7959,43.598,29679.7053,1.0,,,,
8.8182,43.598,27976.8735,1.0,,,,
8.777,43.598,29118.2683,1.0,,,,
8.8848,43.598,26234.0298,1.0,,,,
8.8317,43.598,28429.5501,1.0,,,,
8.8399,43.601,28571.8213,1.0,,,,
8.8658,43.601,23135.1807,1.0,,,,
8.834,43.601,29741.8846,1.0,,,,
8.7637,43.601,30478.7235,1.0,,,,
8.8158,43.601,27629.7258,1.0,,,,
8.8301,43.601,24668.7738,1.0,,,,
8.8349,43.601,27434.5665,1.0,,,,
8.7458,43.601,25257.8973,1.0,,,,
8.807,43.601,26919.0659,1.0,,,,
8.845,43.601,26057.9296,1.0,,,,
8.8564,43.599,24777.1029,1.0,,,,
8.748,43.599,25047.9814,1.0,,,,
8.819,43.599,27510.9188,1.0,,,,
8.8223,43.599,24559.0194,1.0,,,,
8.8411,43.599,25346.2235,1.0,,,,
8.8028,43.599,25302.2853,1.0,,,,
8.8126,43.599,24157.3349,1.0,,,,
8.8299,43.599,22747.3471,1.0,,,,
8.7802,43.599,26125.3624,1.0,,,,
8.7847,43.599,28849.4651,1.0,,,,
8.8127,43.611,24838.5177,1.0,,,,
8.7703,43.611,26110.0728,1.0,,,,
8.8224,43.611,31186.0307,1.0,,,,
8.7579,43.611,29699.4109,1.0,,,,
8.7939,43.611,27315.7998,1.0,,,,
8.767,43.611,26484.9233,1.0,,,,
8.7648,43.611,27178.6573,1.0,,,,
8.7478,43.611,25454.9128,1.0,,,,
8.7627,43.611,30146.3758,1.0,,,,
8.8568,43.611,26929.3633,1.0,,,,
8.7605,43.599,30748.283,1.0,,,,
8.8485,43.599,28245.9455,1.0,,,,
8.7997,43.599,23147.3948,1.0,,,,
